,번호,명칭,요약,출원일,출원인,독립 청구항수,전체 청구항수,국제특허분류,자국인용특허,외국인용특허,자국피인용특허,자국인용횟수,자국피인용횟수,특허평가등급,발명자수,발명자국가,출원인대표명,국가,연도,외국인용횟수
301,KR20190080402A,블록체인 기반 암호화폐의 담보대출을 이용한 금융상품 매매 방법{Method for Trading Financial Instruments by using a Secured Loan of Cryptocurrency based on Blockchain},"본 발명의 블록체인 기반 암호화폐의 담보대출을 이용한 금융상품 매매 방법에 따르면, 실물 세계의 금융상품 거래를 제공하는 증권사서버와 연동 가능하고 블록체인 세계의 암호화폐 거래를 제공하는 거래소서버와 연동 가능한 운영사의 운영서버와 사용자 단말의 프로그램을 포함하는 시스템을 통해 실행되는 방법에 있어서, 사용자를 증권사서버 측에 구비된 운영사 명의의 금융상품 거래용 운영계좌의 주문대리인으로 역방식 지정하는 역방식 주문대리인 계약을 체결하기 위한 절차를 수행하고, 상기 역방식 주문대리인 계약이 체결된 사용자와 지정된 대주 사이에 지정된 사용자 전자지갑에 보유된 S(S≥최소암호화폐단위)암호화폐단위의 암호화폐 중 s(s≤S)암호화폐단위의 암호화폐를 담보로 설정하여 상기 대주로부터 B(B&amp;gt;s)암호화폐단위의 암호화폐를 금융상품 매매 용도로 대출한 후 지정된 대출기간의 만료 시 지정된 R(R≥B)암호화폐단위의 암호화폐를 상환하는 암호화폐 담보대출 계약을 체결하기 위한 절차를 수행하고, 상기 암호화폐 담보대출 계약 체결 시 상기 암호화폐 담보대출 계약을 근거로 지정된 대주 측 전자지갑에 보유된 암호화폐 중 상기 B암호화폐단위의 암호화폐를 지정된 사용자 전자지갑으로 이전하는 대출 처리 절차를 수행하고, 상기 증권사서버와 연동하여 확인된 N(N≥1)개의 금융상품 별 N개의 실물화폐 기반 매수가격 정보와 상기 거래소서버와 연동하여 확인된 지정된 암호화폐의 실물화폐 기반 매도가격 정보를 이용하여 N개의 금융상품 별 N개의 암호화폐 기반 매수가격 정보를 생성하고, 상기 역방식 주문대리인 계약이 체결된 사용자 단말의 프로그램을 통해 n(1≤n≤N)개의 금융상품 정보와 n개의 금융상품 별 n개의 암호화폐 기반 매수가격 정보를 포함하는 거래관련 정보를 출력하도록 처리하고, 상기 사용자 단말의 프로그램을 통해 상기 n개의 금융상품 중 상기 역방식 주문대리인 계약을 근거로 매수할 i(1≤i≤n)개의 금융상품 정보와 i개의 금융상품 별 매수량 정보를 포함하는 거래요청 정보를 확인하고, 상기 증권사서버와 연동하여 상기 운영계좌에 예치된 실물화폐를 통해 상기 i개의 금융상품을 상기 i개의 금융상품 별 매수량만큼 매수 처리하는 금융상품 매수 절차를 수행함과 동시에, 상기 거래소서버와 연동하여 상기 거래소서버 측에 구비된 운영사 명의의 운영계정에 예치된 암호화폐 중 상기 i개의 금융상품을 상기 i개의 금융상품 별 매수량만큼 매수하기 위한 매수용 암호화폐단위를 포함하는 암호화폐를 매도 처리하는 암호화폐 매도 절차를 수행하고, 지정된 사용자 전자지갑에 보유된 암호화폐 중 상기 매수용 암호화폐단위에 대응하는 암호화폐를 지정된 운영사 전자지갑으로 이전시키는 암호화폐 이전 절차를 수행하며, 상기 암호화폐 담보대출 계약에 따라 상기 사용자 보유의 암호화폐 중 지정된 R암호화폐단위의 암호화폐를 지정된 대주 측 전자지갑으로 상환하는 대출 상환 절차를 수행한다.",2019.07.03,주식회사 인덱스마인,1,36,"['G06Q40', 'G06Q30', 'G06Q20']",,,,0,0,,3,['KR'],주식회사 인덱스마인,KR,2019,0
302,KR20190080401A,금융상품 매매를 위한 블록체인 기반 암호화폐의 담보대출 제공 방법{Method for Providing Secured Loan of Cryptocurrency based on Blockchain for Trading Financial Instruments},"본 발명의 금융상품 매매를 위한 블록체인 기반 암호화폐의 담보대출 제공 방법에 따르면, 실물 세계의 금융상품 거래를 제공하는 증권사서버와 연동 가능하고 블록체인 세계의 암호화폐 거래를 제공하는 거래소서버와 연동 가능한 운영사의 운영서버와 사용자 단말의 프로그램을 포함하는 시스템을 통해 실행되는 방법에 있어서, 사용자를 증권사서버 측에 구비된 운영사 명의의 금융상품 거래용 운영계좌의 주문대리인으로 역방식 지정하는 역방식 주문대리인 계약을 체결하기 위한 절차를 수행하고, 상기 역방식 주문대리인 계약이 체결된 사용자와 지정된 대주 사이에 지정된 사용자 전자지갑에 보유된 S(S≥최소암호화폐단위)암호화폐단위의 암호화폐 중 s(s≤S)암호화폐단위의 암호화폐를 담보로 설정하여 상기 대주로부터 B(B&amp;gt;s)암호화폐단위의 암호화폐를 금융상품 매매 용도로 대출한 후 지정된 대출기간의 만료 시 지정된 R(R≥B)암호화폐단위의 암호화폐를 상환하되 상기 대출기간 만료 전에 상기 대출된 암호화폐의 강제 상환을 위한 반대매매를 실행할 기준 암호화폐단위를 포함하는 암호화폐 담보대출 계약을 체결하기 위한 절차를 수행하고, 상기 암호화폐 담보대출 계약 체결 시 상기 암호화폐 담보대출 계약을 근거로 지정된 대주 측 전자지갑에 보유된 암호화폐 중 상기 B암호화폐단위의 암호화폐를 지정된 사용자 전자지갑으로 이전하는 대출 처리 절차를 수행하고, 상기 역방식 주문대리인 계약과 상기 대출된 암호화폐를 근거로 상기 증권사서버를 통해 수행된 금융상품 매매 절차와 상기 거래소서버를 통해 수행된 암호화폐 매매 절차를 연동시켜 사용자가 보유하고 있는 k(1≤k⊂N)개의 금융상품을 확인하고, 상기 증권사서버를 통해 상기 k개의 금융상품에 대한 금융상품 시세 변동정보를 확인하고 상기 거래소서버를 통해 상기 암호화폐에 대한 암호화폐 시세 변동정보를 확인하고, 상기 확인된 금융상품 시세 변동정보와 상기 암호화폐 시세 변동정보를 근거로 상기 k개의 금융상품에 대한 반대매매를 통해 회수 가능한 암호화폐단위 추정치를 산출하고,지정된 사용자 전자지갑에 보유된 암호화폐단위와 지정된 운영사 전자지갑에 보유된 사용자 관련 암호화폐단위 및 상기 반대매매를 통해 회수 가능한 암호화폐단위 추정치를 합한 사용자의 잠재적 확보 암호화폐단위의 합이 상기 암호화폐 담보대출 계약의 지정된 기준 암호화폐단위 이상인지 또는 미만인지 판별하고, 상기 대출기간 만료 전에 상기 사용자의 잠재적 확보 암호화폐단위의 합이 상기 기준 암호화폐단위 미만인 경우, 상기 암호화폐 담보대출 계약에 따라 상기 증권사서버를 통해 상기 k개의 금융상품에 대한 반대매매를 포함하는 금융상품 매매 절차를 자동 수행함과 동시에, 상기 거래소서버와 통해 상기 반대매매에 대응하는 암호화폐를 회수하는 암호화폐 매매 절차를 수행하며, 지정된 사용자 전자지갑에 보유된 암호화폐와 지정된 운영사 전자지갑에 보유된 사용자 관련 암호화폐와 상기 회수된 암호화폐를 하나 이상 포함하는 사용자 보유 암호화폐 중 상기 R암호화폐단위의 암호화폐를 지정된 대주 측 전자지갑으로 상환하는 대출 상환 절차를 수행한다.",2019.07.03,주식회사 인덱스마인,1,19,"['G06Q40', 'G06Q30', 'G06Q20']",,,,0,0,,3,['KR'],주식회사 인덱스마인,KR,2019,0
303,KR20190070217A,금융사 중심 대출 프로세스 처리 방법 및 시스템{FINANCIAL CORPORATION CENTERED METHOD AND SYSTEM FOR MANAGING A LOAN PROCESS},"본 발명의 일 실시 예에 따른 금융사 중심 대출 프로세스 처리 방법은 판매사와 구매자 사이의 차량 구입 계약에 수반되는 차량 구입 자금의 대출을 위한 금융사 중심 대출 프로세스 처리 방법으로서, 상기 판매사와 상기 구매자 간의 차량 구입 계약이 체결되면, 상기 판매사로부터의 요청에 기초하여 상기 구매자에게 신용 조회 동의 페이지에 접속할 수 있는 링크를 발송하는 단계, 상기 구매자로부터의 신용 조회 동의에 대응하여 상기 판매사와 상기 구매자 모두에게 최대 대출 가능 한도를 산출하여 통보하는 단계, 상기 판매사로부터 상기 구매자가 구입할 차량 정보와 대출 요청을 접수하는 단계, 상기 구매자에게 대출 진행 동의 요청 페이지로 접속이 가능한 링크를 발송하는 단계, 및 상기 구매자의 대출 조건 및 구입 차량에 대한 최종 동의에 대응하여 차량 구입 계약에 대한 대출금을 상기 판매사로 송금하는 단계를 포함할 수 있다.",2019.06.13,현대커머셜 주식회사,2,20,"['G06Q40', 'G06Q30']","KR1875731B1,KR20070024243A,KR20110129735A,KR20140098616A,KR20140114142A,KR20180102447A","JP2008015892 A,JP2008015892 A,JP2018074546 A,JP2018074546 A,일본 공개특허공보 특개2008015892호20080124 1부,일본 공개특허공보 특개2018074546호20180510 1부",,6,0,,8,['KR'],현대커머셜 주식회사,KR,2019,6
304,KR20190060283A,"중개 플랫폼을 이용하여 대출광고 서비스를 제공하는 방법 및 이를 이용한 서버, 금융 기관 제휴사 단말{METHOD FOR PROVIDING LOAN ADVERTISING SERVICES USING MEDIATION PLATFORM, AND SERVER AND FINANCIAL INSTITUTION TERMINAL BY USING SAME}","본 발명은 중개 플랫폼을 이용하여 대출광고 서비스를 제공하는 방법에 있어서, (a) 대출광고 서버가, 사용자 단말과의 인터랙션들을 통해 사용자의 대출 희망 조건과 사용자 정보에 대응되는 비식별 사용자 대출 수요 정보들을 획득하는 단계; (b) 상기 대출광고 서버가, 금융 기관 제휴사 단말들과의 인터랙션을 통해, 상기 금융 기관 제휴사들 각각에 의해 기설정된 적어도 하나의 제1 내지 제i 타겟 고객 카테고리 각각에 대응하여 상기 비식별 사용자 대출 수요 정보들을 분류한 제1 내지 제i 타겟 고객 카테고리별 비식별 사용자 대출 수요 정보들을 제공하는 단계; (c) 상기 대출광고 서버가, 상기 금융 기관 제휴사 단말들과의 인터랙션을 통해 상기 제1 내지 제i 타겟 고객 카테고리별 비식별 사용자 대출 수요 정보들 각각에 대응하는 대출 상품들을 획득하는 단계; (d) 상기 대출광고 서버가, 상기 제1 내지 제i 타겟 고객 카테고리별 비식별 사용자 대출 수요 정보들 각각에 대응되는 대출 상품들을 상기 사용자별로 분류하는 단계; (e) 상기 대출광고 서버가, 상기 사용자 단말과의 인터랙션을 통해 상기 사용자 별로 분류된 상기 대출 상품들에 대한 대출광고을 해당하는 사용자 단말로 중개하여 주며, 상기 금융 기관 제휴사 단말과의 인터랙션을 통해 상기 대출광고의 중개에 따른 수수료를 획득하는 단계; 를 포함한다.",2019.05.22,마이뱅크주식회사,1,1,"['G06Q40', 'G06Q30']",,,"KR2392630B1,KR2397019B1",0,2,,1,['KR'],마이뱅크 주식회사,KR,2019,0
305,KR20190059086A,유가증권 담보 대출 관리 방법 및 장치{METHOD AND APPARATUS OF MANAGEMENT A SECURED LOAN OF VALUABLE SECURITIES},"본 발명은 유가증권 담보 대출 관리 방법 및 장치에 관한 것이다. 본 발명의 유가증권 담보 대출 관리 방법은, 원담보와 후보담보를 포함하는 유가증권 담보 대출 계약 신청을 접수하고, 상기 담보로 제공된 원담보에 질권담보를 설정한 후 대출 계약을 체결하는 대출 계약 단계, 및 유효 대출 기간 내에 상기 담보물로 제공된 유가증권의 담보력을 평가하고, 상기 담보력이 유지되도록 관리하는 담보력 유지 단계를 포함한다. 본 발명의 실시예에 따르면, 담보 대출의 담보력 유지를 효율적으로 관리하는 것이 가능하게 된다. 구체적으로, 본 발명의 실시예에 의하면, 담보력을 유지하기 위한 방안으로 후보담보 중 전환담보를 설정하는 방안을 우선적으로 수행하게 됨에 따라, 종래 원담보의 담보력 하락시에는 무조건적인 반대매매를 실행하여 대출금을 회수하는 빙식에 비해, 담보 대출 계약의 안정적인 운영이 가능하게 된다.",2019.05.20,주식회사 투디지트,3,14,"['G06Q40', 'G06Q10', 'G08B21', 'G06N20']","KR20070045615A,KR20080070882A,KR20120134849A,KR20170133301A",,,4,0,,8,['KR'],주식회사 투디지트,KR,2019,0
306,KR20190056216A,골프장 캐디피 신용카드 결재 대행 서비스 및 매출 데이터를 활용한 신용대출 시스템{Golf course Caddy fee card payment agency service and Credit Loan System Using Revenue Data},본 발명은 골프장 캐디피 신용카드 결재 대행 서비스 및 매출 데이터를 활용한 신용대출 시스템에 관한 것으로 더욱 상세하게는 사업자 등록이 되지 않은 골프장 캐디의 캐디피를 신용카드로서 결제할 수 있는 대행 서비스를 제공하면서 무점포 비사업자인 캐디의 매출 데이터를 활용하여 신용대출을 할 수 있도록 하는 골프장 캐디피 신용카드 결재 대행 서비스 및 매출 데이터를 활용한 신용대출 시스템에 관한 것이다.,2019.05.14,김진광|김정민,2,2,"['G06Q40', 'G06Q20']","KR20130123686A,KR20150062520A,KR20160036408A,KR20160091871A,KR20190050264A",,,5,0,,2,['KR'],김진광|김정민,KR,2019,0
307,KR20190051028A,"비식별 사용자 정보에 대응되는 대출 적격자에게 맞춤형 대출광고를 제공하기 위하여 플랫폼을 운용하거나 이용하는 방법 및 이를 이용한 서버, 금융 기관 제휴사 단말{METHOD FOR MANAGING OR USING PLATFORM CAPABLE OF PROVIDING ONE OR MORE CUSTIMIZED LOAN ADVERTISEMENTS TO ELIGIBLE LENDERS CORRESPONDING TO UNIDENTIFIED USER INFORMATION, AND SERVER AND FINANCIAL INSTITUTION TERMINAL BY USING SAME}","본 발명은 비식별 사용자 정보에 대응되는 대출 적격자에게 맞춤형 대출광고를 제공하기 위하여 플랫폼을 운용하거나 이용하는 방법에 있어서, (a) 식별 사용자들 각각에 대응되는 대출 희망 조건들과 상기 식별 사용자들 각각의 식별 사용자 정보들에 대응되는 비식별 사용자 정보들을 참조한 비식별 사용자 대출 수요 정보들이 생성된 상태에서, 금융 기관 제휴사 단말들이 접속되면, 대출광고 제공 서버가, 상기 비식별 사용자 대출 수요 정보들을 금융 기관 제휴사들 각각에 의해 기설정된 적어도 하나의 제1 내지 제i 타겟 고객 카테고리 각각에 대응하여 분류하며, 분류된 제1 내지 제i 타겟 고객 카테고리별 비식별 사용자 대출 수요 정보들이 상기 금융 기관 제휴사 단말들에 디스플레이되도록 지원하는 단계; 및 (b) 상기 금융 기관 제휴사 단말들로부터 상기 제1 내지 제i 타겟 고객 카테고리별 비식별 사용자 대출 수요 정보들 각각에 대응하는 대출 가능 조건을 포함하는 상기 비식별 사용자 대출 수요 정보들 각각에 대응되는 대출 상품들이 획득되면, 상기 대출광고 제공 서버가, 상기 비식별 사용자 대출 수요 정보들 각각에 대응되는 대출 상품들을, 상기 식별 사용자 정보와 상기 비식별 사용자 정보들 사이의 연관 관계 정보를 참조로 하여, 상기 식별 사용자 별로 분류하며, 상기 식별 사용자 별로 분류된 상기 비식별 사용자 대출 수요 정보들 각각에 대응되는 상기 대출 상품들에 대한 대출광고를 상기 식별 사용자들에 대응되는 각각의 식별 사용자 단말들로 전송함으로써 상기 식별 사용자 단말들 각각으로 하여금 상기 식별 사용자에 대응되는 상기 대출 상품들을 디스플레이하여 주도록 지원하는 단계; 를 포함한다.",2019.04.30,마이뱅크주식회사,5,32,"['G06Q40', 'G06Q30']",,,,0,0,,1,['KR'],마이뱅크 주식회사,KR,2019,0
308,KR20190051027A,"비식별 사용자 정보를 이용하여 결정된 대출광고를 비식별 사용자 정보에 대응되는 식별 사용자에게 매칭하여 주는 방법 및 이를 이용한 서버, 식별 사용자 단말{METHOD FOR CORRELATING ONE OR MORE LOAN ADVERTISEMENTS SELECTED BY USING INFORMATION ON UNIDENTIFIED USER WITH IDENTIFIED USER CORRESPONDING TO UNIDENTIFIED USER, AND SERVER AND IDENTIFIED USER TERMINAL BY USING SAME}","본 발명은 비식별 사용자 정보를 이용하여 결정된 대출광고를 비식별 사용자 정보에 대응되는 식별 사용자에게 매칭하여 주는 방법에 있어서, (a) 식별 사용자 단말로부터 대출 검색 요청이 획득되면, 대출광고 제공 서버가, 제공 가능한 대출들에 대한 적어도 하나의 대출 카테고리를 상기 식별 사용자 단말로 전송하며, 상기 식별 사용자 단말로부터 상기 대출 카테고리에서 특정 대출 카테고리에 대한 선택 신호가 획득되면, 대출 조건 입력 인터페이스가 상기 식별 사용자 단말에 디스플레이되도록 하는 단계; (b) 상기 대출 조건 입력 인터페이스를 통해 상기 식별 사용자가 대출받고자 하는 조건을 입력함으로써 상기 식별 사용자 단말로부터 대출 희망 조건이 입력되면, 상기 대출광고 제공 서버가, 상기 식별 사용자 단말로 식별 사용자 정보를 요청하며, 상기 식별 사용자 단말에 의해 획득되는 상기 식별 사용자 정보를 비식별화 가공한 비식별 사용자 정보를 생성하고, 상기 대출 희망 조건과 상기 비식별 사용자 정보를 참조한 비식별 사용자 대출 수요 정보를 생성하는 단계; 및 (c) 상기 비식별 사용자 대출 수요 정보를 참조한 상기 대출 희망 조건과 상기 비식별 사용자 정보에 대응하여 상기 비식별 사용자에게 제공 가능한 적어도 하나의 대출 상품이 적어도 하나의 금융 기관 제휴사 단말로부터 획득되면, 상기 대출광고 제공 서버가, 상기 비식별 사용자 대출 수요 정보에 대응되는 상기 적어도 하나의 대출 상품에 대응되는 대출광고를 상기 비식별 사용자에 대응되는 상기 식별 사용자 단말로 전송함으로써 상기 식별 사용자가 상기 적어도 하나의 대출 상품에 대한 상기 대출광고를 참조하여 원하는 대출 상품을 선택할 수 있도록 하는 단계; 를 포함한다.",2019.04.30,마이뱅크주식회사,4,38,"['G06Q40', 'G06Q30']",,,KR2397019B1,0,1,,1,['KR'],마이뱅크 주식회사,KR,2019,0
309,KR20190033244A,제로페이 여신 시스템 및 방법{The system and method of loan for zeropay},"최근 고객이 상점에 비치된 QR코드를 스캔하고 결제하는 제로페이 서비스가 시행되고 있다. 상점은 결제 수수료가 낮기 때문에 결제 수수료를 절감할 수 있고, 고객은 소득 공제 등의 혜택이 제공되기 때문에 역시 비용을 절감할 수 있다. 그러나 제로페이는 신용카드와 달리 계좌 이체 방식이다 보니 여신 기능이 없어 확산의 걸림돌로 작용하고 있다. 본 발명은 제로페이 이용자에게 여신을 제공하는 시스템 및 방법에 대한 발명이다. 본 발명에 의하면 제로페이 사용자가 신용카드처럼 여신을 사용할 수 있기 때문에 제로페이 사용이 활성화될 수 있다.",2019.03.23,임 종 진,1,6,['G06Q20'],,,,0,0,,1,['KR'],임종진,KR,2019,0
310,KR20190029438A,금융 기관 시스템 및 그의 대출 방법{FINACIAL INTSTITUTE SYSTEM AND LOAN METHOD THEREOF},"본 발명의 한 실시예에 따른 금융 기관 시스템은 카드사 시스템으로부터 고객에 대한 대출 신청을 수신하는 대출 신청부, 상기 대출 신청에 따라 상기 고객에 대한 대출 심사를 수행하는 대출 심사부, 그리고 대출 심사 결과에 따라 상기 고객에 대한 대출을 수행하는 대출 처리부를 포함한다.",2019.03.14,주식회사 하나은행,3,16,"['G06Q40', 'G06Q10']",,,KR20210047213A,0,1,,4,['KR'],주식회사 하나은행,KR,2019,0
311,KR20190022794A,"대면거래에서 URL을 이용하여 사용자를 직접 확인하거나 URL을 이용하여 대여금으로 결제하는 결제시스템{IN FACE-TO-FACE TRANSACTION, A PAYMENT SYSTEM THAT CHECKS THE USER DIRECTLY USING THE URL OR PAYS WITH A LOAN USING THE URL.}",대면거래에 카드서버가 URL을 이용하여 사용자를 직접 확인하거나 결제를 요청하는 것에 대응하여 대여금으로 결제하는 시스템과 방법이다.,2019.02.26,김금철,10,10,['G06Q20'],"KR101941587 B1,KR20150127947A,KR20160064061A,등록특허공보 제101941587호20190411 1부","JP2005227917 A,JP2005227917 A,일본 공개특허공보 특개2005227917호20050825 1부",,4,0,,1,['KR'],김금철,KR,2019,3
312,KR20190015755A,프랜차이즈 사업을 위한 대출 서비스 장치 및 이의 동작 방법{LOAN SERVICE DEVICE FOR FRANCHISE BUSINESS AND OPERATION METHOD OF THE SAME},"본 발명의 실시예에 따른 대출 서비스 장치는, 프랜차이즈의 본사의 본사 출자금 및 가맹점들의 가맹점 출자금을 결합하여 펀드를 생성하는 펀드 생성부; 대출 희망자들에 대한 우선순위를 설정하는 우선순위 설정부; 상기 대출 희망자들의 희망 상권들 각각에 대한 등급을 설정하는 등급 설정부; 및 상기 우선순위 및 상기 등급을 기초로, 상기 대출 희망자들 중 어느 하나를 대출자로 선택하는 대출 결정부를 포함하고, 상기 펀드 생성부는, 상기 본사로부터 상기 본사 출자금을 이체받은 본사 출자금 관리부; 상기 가맹점들로부터 상기 가맹점 출자금을 이체받고, 상기 가맹점들 각각의 출자 금액 정보 및 출자 기간 정보를 생성하는 가맹점 출자금 관리부; 및 출자 비율에 따라, 상기 본사 출자금 및 상기 가맹점 출자금을 결합하여 상기 펀드를 생성하는 펀드 총액 관리부를 포함하고, 상기 출자 비율은, 상기 본사 및 상기 가맹점들의 출자금 비율을 나타낸다.",2019.02.11,주식회사 핀후드,3,10,['G06Q40'],"KR1706862B1,KR1775400B1,KR20130021741A,KR20180028120A,KR20180106832A,KR20180130980A",,,6,0,,2,['KR'],주식회사 핀후드,KR,2019,0
313,KR20190086143A,스테이블코인을 대출해주기 위한 제어 방법 및 이를 위한 컴퓨팅 시스템{CONTROL METHOD OF LOAN FOR STABLECOIN AND COMPUTING SYSTEM THEREFOR},"본 발명은 미국 달러 등과 같은 담보물의 가치에 고정되어 가격을 안정적으로 유지하는 암호화폐로 발행되는 스테이블코인의 대출을 위한 제어 방법에 관한 것으로, 보다 구체적으로는 사용자 단말, 담보 제공자 단말 및 암호화폐 네트워크와 연결되는 컴퓨팅 시스템의 스테이블코인을 대출해주는 제어 방법에 있어서, 상기 암호화폐 네트워크를 통하여 상기 사용자 단말로부터 암호화폐를 이체 받아 보관하는 단계, 상기 암호화폐의 가치를 측정하는 단계, 상기 측정된 가치에 대응하는 가치의 스테이블코인을 대출금으로서 상기 사용자 단말에게 이체해 주는 단계, 및 상기 이체된 스테이블코인에 대응하는 가치의 담보물을 상기 담보 제공자 단말로부터 제공받는 단계를 포함하는 것을 특징으로 한다.",2019.07.17,김성일,2,30,"['G06Q40', 'G06Q20']",KR20180021048A,,"KR20220049753A,KR2381729B1",1,2,,1,['KR'],김성일,KR,2019,0
314,KR20190011931A,블록체인 기반의 부동산 대출 시스템 및 방법{System and method for loan on real estate based on block chain},"본 발명은 블록체인 기반의 부동산 대출에 관한 것으로서, 상세하게는 블록체인 네트워크의 플랫폼 상에서 부동산 거래시 발생하는 부동산 대출 프로세스를 수행함으로써 대출모집인 제도를 대체할 수 있는 블록체인 기반의 부동산 대출 시스템 및 방법에 관한 것이다. 이를 위해, 본 발명에 따른 블록체인 기반 부동산 대출 시스템은 부동산 거래/대출 서비스 이용자의 컴퓨팅 장치로부터 부동산 거래 신청을 수신하면 거래 대상물에 대한 외부 검증 및 부동산 계약을 요청하고, 부동산 대출 신청을 수신하면 부동산 대출 심사를 수행하여 부동산 대출을 실행하는 부동산 대출 플랫폼과, 상기 부동산 대출 플랫폼의 외부 검증 및 부동산 계약 요청에 따라 상기 부동산 대출 플랫폼으로부터 수신한 거래 대상물 관련 서류를 가입된 공인중개사의 컴퓨팅 장치로 전달하여 거래 대상물에 대한 검증 및 부동산 계약을 수행하는 부동산 중개 플랫폼을 포함한다.",2019.01.30,주식회사 하나은행,4,20,"['G06Q50', 'G06Q40', 'G06Q30', 'G06Q20']",KR20180113229A,,KR20220046834A,1,1,,11,['KR'],주식회사 하나은행,KR,2019,0
315,KR20190009428A,정책자금 대출 관리 시스템 및 방법{System and Method for Policy Loan Management},"본 발명은 정책자금 대출 관리 시스템 및 방법에 관한 것으로, 본 발명에 따른 방법은 협약기관서버에서 차주 단말로부터 신청된 정책자금 대출을 위한 융자 추천서를 발급하는 단계, 협약기관서버에서 융자 추천서의 발급 정보를 포함하는 블록 데이터를 생성하여 블록체인 네트워크의 분산 원장에 저장하는 단계, 금융기관 시스템에서 정책자금 대출 신청을 한 차주에 대한 융자 추천서 발급 정보를 분산 원장에서 조회하여 확인하고, 정책자금 대출 신청에 대해 승인하는 단계, 금융기관 시스템에서 승인된 정책자금 대출에 대응하는 정책자금 차입을 요청하는 단계, 그리고 협약기관서버에서 차입 요청된 정책자금을 금융기관에 입금해주는 단계를 포함한다. 본 발명에 의하면, 블록체인 기반으로 정책자금 대출 관리가 이루어지므로, 대출기간이 장기이고, 분할상환이 이루어지는 정책자금대출의 특성상 취급 후에도 체계적인 관리가 가능한 장점이 있다. 또한 정책자금 대출을 위한 서류 제출, 전달, 보관 등 서류 관리가 용이하다. 또한 차주의 지원대상 자격요건 유지 여부, 자금의 목적 외 사용 여부 등 금융기관과 협약기관 등 복수의 주체가 이중으로 사후관리 가능하여 대출 리스크를 최소화시킬 수 있는 장점이 있다.",2019.01.24,주식회사 하나은행,3,17,"['G06Q40', 'G06Q50']",KR20150043760A,,,1,0,,11,['KR'],주식회사 하나은행,KR,2019,0
316,KR20190008350A,대출 서비스 시스템 및 그의 대출 방법{LOAN SERVICE SYSTEM AND METHOD FOR LOAN THEROF},"본 발명에 따른 신용 공여 시스템은 고객으로부터 고객 정보를 수취하는 정보 수집부, 상기 고객 정보로부터 특성 데이터를 추출하는 데이터 추출부, 상기 특성 데이터를 분석하여 고객 유형을 생성하는 분석부, 그리고 상기 고객 유형에 따라 대출 조건을 자동으로 생성하는 심사 결과 생성부를 포함할 수 있다.",2019.01.22,주식회사 하나은행,3,17,"['G06Q40', 'G06Q10']",,,,0,0,,1,['KR'],주식회사 하나은행,KR,2019,0
317,KR20190004978A,신용 공여 시스템 및 그의 대출 방법{CREDIT OFFERING SYSTEM AND METHOD FOR LOAN THEROF},"본 발명에 따른 신용 공여 시스템은 대출자의 대출 요청을 수신하는 대출 신청부, 상기 대출 요청에 따라 대출자 정보를 생성하여 담보 제공자 단말에게 제공하는 정보 제공부, 그리고 상기 담보 제공자 단말로부터 담보 제공 요청을 수신하여 담보 제공자의 자산을 담보물로 하여 상기 대출자에 대한 대출을 실행하는 대출 처리부를 포함한다.",2019.01.15,주식회사 하나은행,2,16,"['G06Q40', 'G06Q10']",,,,0,0,,2,['KR'],주식회사 하나은행,KR,2019,0
